tester,platform,rdbms,testid,result
Jhon Toledo,Db2triples,MySQL,R2RMLTC0000,passed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0001a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0001b,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0002a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0002b,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0002c,passed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0002d,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0002e,passed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0002f,passed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0002g,passed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0002h,passed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0002i,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0002j,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0003b,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0003c,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0004a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0004b,passed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0005a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0005b,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0006a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0007a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0007b,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0007c,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0007d,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0007e,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0007f,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0007g,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0007h,passed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0008a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0008b,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0008c,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0009a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0009b,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0009c,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0009d,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0010a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0010b,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0010c,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0011a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0011b,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0012a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0012b,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0012c,passed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0012d,passed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0012e,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0013a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0014a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0014b,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0014c,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0014d,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0015a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0015b,passed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0016a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0016b,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0016c,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0016d,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0016e,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0018a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0019a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0019b,passed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0020a,failed
Jhon Toledo,Db2triples,MySQL,R2RMLTC0020b,passed
